130	693.40	30.51	21.50	38.14	38.14	54.09	48.54
131	667.60	29.37	20.70	36.72	36.72	52.07	46.73
132	643.00	28.29	19.93	35.37	35.37	50.15	45.01
133	619.30	27.25	19.20	34.06	34.06	48.31	43.35
134	596.70	26.25	18.50	32.82	32.82	46.54	41.77
135	575.20	25.31	17.83	31.64	31.64	44.87	40.26
136	554.50	24.40	17.19	30.50	30.50	43.25	38.82
137	534.70	23.53	16.58	29.41	29.41	41.71	37.43
138	515.50	22.68	15.98	28.35	28.35	40.21	36.09
139	497.30	21.88	15.42	27.35	27.35	38.79	34.81
140	479.80	21.11	14.87	26.39	26.39	37.42	33.59
141	463.00	20.37	14.35	25.47	25.47	36.11	32.41
142	447.00	19.67	13.86	24.59	24.59	34.87	31.29
143	431.50	18.99	13.38	23.73	23.73	33.66	30.21
144	416.80	18.34	12.92	22.92	22.92	32.51	29.18
145	402.30	17.70	12.47	22.13	22.13	31.38	28.16
146	388.70	17.10	12.05	21.38	21.38	30.32	27.21
147	375.60	16.53	11.64	20.66	20.66	29.30	26.29
148	363.00	15.97	11.25	19.97	19.97	28.31	25.41
149	350.80	15.44	10.87	19.29	19.29	27.36	24.56
150	339.20	14.92	10.52	18.66	18.66	26.46	23.74
151	328.00	14.43	10.17	18.04	18.04	25.58	22.96
152	317.30	13.96	9.84	17.45	17.45	24.75	22.21
153	306.80	13.50	9.51	16.87	16.87	23.93	21.48
154	296.80	13.06	9.20	16.32	16.32	23.15	20.78
155	287.10	12.63	8.90	15.79	15.79	22.39	20.10
156	277.90	12.23	8.61	15.28	15.28	21.68	19.45
157	269.10	11.84	8.34	14.80	14.80	20.99	18.84
158	260.50	11.46	8.08	14.33	14.33	20.32	18.24
159	252.20	11.10	7.82	13.87	13.87	19.67	17.65
160	244.20	10.74	7.57	13.43	13.43	19.05	17.09
161	236.60	10.41	7.33	13.01	13.01	18.45	16.56
162	229.00	10.08	7.10	12.60	12.60	17.86	16.03
163	221.90	9.76	6.88	12.20	12.20	17.31	15.53
164	215.20	9.47	6.67	11.84	11.84	16.79	15.06
165	208.50	9.17	6.46	11.47	11.47	16.26	14.60
166	202.20	8.90	6.27	11.12	11.12	15.77	14.15
167	195.90	8.62	6.07	10.77	10.77	15.28	13.71
168	190.00	8.36	5.89	10.45	10.45	14.82	13.30
169	184.30	8.11	5.71	10.14	10.14	14.38	12.90
170	178.70	7.86	5.54	9.83	9.83	13.94	12.51
171	173.30	7.63	5.37	9.53	9.53	13.52	12.13
172	168.20	7.40	5.21	9.25	9.25	13.12	11.77
173	163.20	7.18	5.06	8.98	8.98	12.73	11.42
174	158.40	6.97	4.91	8.71	8.71	12.36	11.09
175	153.80	6.77	4.77	8.46	8.46	12.00	10.77
176	149.20	6.56	4.63	8.21	8.21	11.64	10.44
177	144.90	6.38	4.49	7.97	7.97	11.30	10.14
178	140.70	6.19	4.36	7.74	7.74	10.97	9.85
179	136.70	6.01	4.24	7.52	7.52	10.66	9.57
180	132.70	5.84	4.11	7.30	7.30	10.35	9.29
181	128.90	5.67	4.00	7.09	7.09	10.05	9.02
182	125.20	5.51	3.88	6.89	6.89	9.77	8.76
183	121.70	5.35	3.77	6.69	6.69	9.49	8.52
184	118.20	5.20	3.66	6.50	6.50	9.22	8.27
185	114.90	5.06	3.56	6.32	6.32	8.96	8.04
186	111.70	4.91	3.46	6.14	6.14	8.71	7.82
187	108.70	4.78	3.37	5.98	5.98	8.48	7.61
188	105.60	4.65	3.27	5.81	5.81	8.24	7.39
189	102.70	4.52	3.18	5.65	5.65	8.01	7.19
190	99.86	4.39	3.10	5.49	5.49	7.79	6.99
191	97.10	4.27	3.01	5.34	5.34	7.57	6.80
192	94.46	4.16	2.93	5.20	5.20	7.37	6.61
193	91.87	4.04	2.85	5.05	5.05	7.17	6.43
194	89.41	3.93	2.77	4.92	4.92	6.97	6.26
195	86.99	3.83	2.70	4.78	4.78	6.79	6.09
196	84.65	3.72	2.62	4.66	4.66	6.60	5.93
197	82.40	3.63	2.55	4.53	4.53	6.43	5.77
198	80.19	3.53	2.49	4.41	4.41	6.25	5.61
199	78.07	3.44	2.42	4.29	4.29	6.09	5.46
200	76.01	3.34	2.36	4.18	4.18	5.93	5.32
201	74.00	3.26	2.29	4.07	4.07	5.77	5.18
202	72.06	3.17	2.23	3.96	3.96	5.62	5.04
203	70.19	3.09	2.18	3.86	3.86	5.47	4.91
204	68.37	3.01	2.12	3.76	3.76	5.33	4.79
205	66.59	2.93	2.06	3.66	3.66	5.19	4.66
206	64.89	2.86	2.01	3.57	3.57	5.06	4.54
207	63.19	2.78	1.96	3.48	3.48	4.93	4.42
208	61.59	2.71	1.91	3.39	3.39	4.80	4.31
209	60.02	2.64	1.86	3.30	3.30	4.68	4.20
210	58.49	2.57	1.81	3.22	3.22	4.56	4.09
211	57.01	2.51	1.77	3.14	3.14	4.45	3.99
212	55.58	2.45	1.72	3.06	3.06	4.34	3.89
213	54.19	2.38	1.68	2.98	2.98	4.23	3.79
214	52.81	2.32	1.64	2.90	2.90	4.12	3.70
215	51.50	2.27	1.60	2.83	2.83	4.02	3.61
216	50.23	2.21	1.56	2.76	2.76	3.92	3.52
217	48.98	2.16	1.52	2.69	2.69	3.82	3.43
218	47.77	2.10	1.48	2.63	2.63	3.73	3.34
219	46.59	2.05	1.44	2.56	2.56	3.63	3.26
220	45.45	2.00	1.41	2.50	2.50	3.55	3.18

